Date,spend_all,spend_acf,cityname,stateabbrev,city_pop2019
2025-12-31,0.448,0.18,Boston,MA,803907
2025-12-31,0.121,-0.0418,Denver,CO,727211
2025-12-31,0.293,0.103,Atlanta,GA,1063937
2025-12-31,0.133,0.0693,Kansas City,MO,703011
2026-01-31,-0.0157,-0.098,Los Angeles,CA,10039107
2026-01-31,0.384,0.179,Chicago,IL,5150233
2026-01-31,0.209,-0.034,Dallas,TX,2635516
2026-01-31,0.216,0.102,Austin,TX,1273954
2026-01-31,0.109,-0.0782,Charlotte,NC,1110356
2026-01-31,0.495,0.18,Boston,MA,803907
2026-01-31,0.159,-0.0138,Denver,CO,727211
2026-01-31,0.291,0.0739,Atlanta,GA,1063937
2026-01-31,0.222,0.237,Kansas City,MO,703011
2026-02-28,-0.00789,-0.126,Los Angeles,CA,10039107
2026-02-28,0.444,0.269,Chicago,IL,5150233
2026-02-28,0.312,0.0398,Dallas,TX,2635516
2026-02-28,0.289,0.213,Austin,TX,1273954
2026-02-28,0.204,0.0123,Charlotte,NC,1110356
2026-02-28,0.481,0.18,Boston,MA,803907
2026-02-28,0.188,0.00544,Denver,CO,727211
2026-02-28,0.339,0.141,Atlanta,GA,1063937
2026-02-28,0.219,0.282,Kansas City,MO,703011
2026-03-31,0.0263,-0.119,Los Angeles,CA,10039107
2026-03-31,0.48,0.192,Chicago,IL,5150233
2026-03-31,0.311,0.00734,Dallas,TX,2635516
2026-03-31,0.309,0.165,Austin,TX,1273954
2026-03-31,0.242,0.0249,Charlotte,NC,1110356
2026-03-31,0.51,0.15,Boston,MA,803907
2026-03-31,0.253,-0.000407,Denver,CO,727211
2026-03-31,0.383,0.103,Atlanta,GA,1063937
2026-03-31,0.261,0.264,Kansas City,MO,703011
2026-04-30,0.0228,-0.118,Los Angeles,CA,10039107
2026-04-30,0.522,0.284,Chicago,IL,5150233
2026-04-30,0.294,0.0661,Dallas,TX,2635516
2026-04-30,0.281,0.18,Austin,TX,1273954
2026-04-30,0.195,0.0397,Charlotte,NC,1110356
2026-04-30,0.476,0.26,Boston,MA,803907
2026-04-30,0.224,0.0565,Denver,CO,727211
2026-04-30,0.367,0.162,Atlanta,GA,1063937
2026-04-30,0.19,0.338,Kansas City,MO,703011
2026-05-31,-0.0122,-0.0976,Los Angeles,CA,10039107
2026-05-31,0.478,0.298,Chicago,IL,5150233
2026-05-31,0.231,0.0761,Dallas,TX,2635516
2026-05-31,0.249,0.18,Austin,TX,1273954
2026-05-31,0.166,0.0668,Charlotte,NC,1110356
2026-05-31,0.443,0.269,Boston,MA,803907
2026-05-31,0.199,0.0688,Denver,CO,727211
2026-05-31,0.328,0.195,Atlanta,GA,1063937
2026-05-31,0.228,0.329,Kansas City,MO,703011
